都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,lat,lon,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
294241,,奈良県,上牧町,上牧第二体育館,カンマキダイニタイイクカン,奈良県北葛城郡上牧町桜ヶ丘3丁目12番3号,,34.574247,135.720158,事務所内,0745-73-8896,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧町立文化館,カンマキチョウリツブンカカン,奈良県北葛城郡上牧町大字上牧3892番地,,34.56174,135.708418,事務所内,0745-76-4050,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,松里園公民館,ショウリエンコウミンカン,奈良県北葛城郡上牧町松里園1丁目11番11号,,34.551355,135.710788,事務所受付付近,0745-76-8550,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧町立第1保育所,カンマキチョウリツダイ１ホイクショ,奈良県北葛城郡上牧町大字上牧4517番地,,34.564836,135.709522,事務所受付付近,0745-76-1000,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧小学校学童保育所,カンマキショウガッコウガクドウホイクショ,奈良県北葛城郡上牧町大字上牧1876番地1,,34.561937,135.718109,事務所受付付近,0745-77-1550,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,友が丘公民館,トモガオカコウミンカン,奈良県北葛城郡上牧町友が丘1丁目10番15号,,34.57235,135.713523,2階放送室内,0745-73-9959,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,桜ヶ丘公民館,サクラガオカコウミンカン,奈良県北葛城郡上牧町桜ヶ丘2丁目15番3号,,34.573841,135.726546,事務所付近,,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,服部台老人憩いの家,ハットリダイロウジンイコイノイエ,奈良県北葛城郡上牧町服部台1丁目3番41号,,34.568788,135.714516,入口付近,0745-76-9879,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,梅ヶ丘老人憩いの家,ウメガオカロウジンイコイノイエ,奈良県北葛城郡上牧町大字下牧7丁目1番24号,,34.570928,135.70463,入口付近,0745-31-0543,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,葛城台公民館,カツラギダイコウミンカン,奈良県北葛城郡上牧町葛城台3丁目1番2号,,34.556863,135.722332,入口付近,,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,片岡台1丁目公民館,カタオカダイ1チョウメコウミンカン,奈良県北葛城郡上牧町片岡台1丁目5番地2,,34.581316,135.715113,入口付近,,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,五軒屋老人憩いの家,ゴケンヤロウジンイコイノイエ,奈良県北葛城郡上牧町大字上牧1546番地5,,34.55405,135.719626,入口付近,,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,ゆりが丘コミュニティセンター,ユリガオカコミュニティセンター,奈良県北葛城郡上牧町ゆりが丘1丁目7番20号,,34.572099,135.719507,入口付近,,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,下牧文化館,シモマキブンカカン,奈良県北葛城郡上牧町大字下牧2丁目9番22号,,34.576144,135.713633,入口付近,,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,米山台公民館,ヨネヤマダイコウミンカン,奈良県北葛城郡上牧町米山台5丁目6番1号,,34.563229,135.715153,入口付近,,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,桜ヶ丘老人憩いの家,サクラガオカロウジンイコイノイエ,奈良県北葛城郡上牧町桜ヶ丘3丁目34番3号,,34.57499,135.720661,入口付近,,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
